AGS;Kommune;Kreis;Typ;Regierungsbezirk;Bevölkerung;Gemeindegrößenklasse;Partei;Zentralörtliche Einstufung;Beschluss NKNRW;Angebot;Einstiegszeitpunkt;Vorerfahrung;Teilnahme NKNRW;Projekthistorie id;Projekthistorie Name
5170032;Rheinberg;Wesel;Stadt;Düsseldorf;31172;Mittelstadt;;Mittelzentrum;;;;;0;1;"Global Nachhaltige Kommune (2021–2022); Prozesskette Nachhaltigkeit Phase I (2023–2024)"
5754032;Rietberg;Gütersloh;Stadt;Detmold;30055;Mittelstadt;;Mittelzentrum;;;;;0;1;Global Nachhaltige Kommune (2021–2022)
5162028;Rommerskirchen;Rhein-Kreis Neuss;Kreisangehörige Gemeinde;Düsseldorf;14079;Größere Kleinstadt;;Grundzentrum und niedriger;;;;;0;1;Auftragsarbeit – Erstellung einer Nachhaltigkeitsstrategie (2024)
5766064;Schlangen;Lippe;Kreisangehörige Gemeinde;Detmold;9257;Kleine Kleinstadt;;Grundzentrum und niedriger;;;;;0;1;Prozesskette Nachhaltigkeit Phase I (2023–2024)
5970000;Siegen-Wittgenstein;Siegen-Wittgenstein;Kreis;Arnsberg;272509;;;;;;;;0;1;Global Nachhaltige Kommune (2019–2021)
5974040;Soest;Soest;Stadt;Arnsberg;47776;Mittelstadt;;Mittelzentrum;;;;;0;1;Global Nachhaltige Kommune (2021–2022)
5954028;Sprockhövel;Ennepe-Ruhr-Kreis;Stadt;Arnsberg;24232;Mittelstadt;;Mittelzentrum;;;;;0;1;Prozesskette Nachhaltigkeit Phase 2 (2025–2026)
5566000;Steinfurt;Steinfurt;Kreis;Münster;451004;;;;;;;;0;1;Global Nachhaltige Kommune (2016–2018)
5334032;Stolberg;Städteregion Aachen;Stadt;Köln;57684;Mittelstadt;;Mittelzentrum;;;;;0;1;Prozesskette Nachhaltigkeit Phase 2 (2025–2026)
5978036;Unna;Unna;Stadt;Arnsberg;58333;Mittelstadt;;Mittelzentrum;;;;;0;1;"Global Nachhaltige Kommune (2016–2018); Netzwerk Nachhaltigkeit (2017–2018)"
5166036;Willich;Viersen;Stadt;Düsseldorf;49413;Mittelstadt;;Mittelzentrum;;;;;0;1;Global Nachhaltige Kommune (2016–2018)
5382076;Windeck;Rhein-Sieg-Kreis;Kreisangehörige Gemeinde;Köln;19555;Größere Kleinstadt;;Grundzentrum und niedriger;;;;;0;1;Prozesskette Nachhaltigkeit Phase 2 (2025–2026)
5958048;Winterberg;Hochsauerlandkreis;Stadt;Arnsberg;13168;Größere Kleinstadt;;Mittelzentrum;;;;;0;1;Prozesskette Nachhaltigkeit Phase I (2023–2024)
5954036;Witten;Ennepe-Ruhr-Kreis;Stadt;Arnsberg;91808;Mittelstadt;;Mittelzentrum;;;;;0;1;Global Nachhaltige Kommune (2019–2021)
